"","favor","contra","absten","quorum","ausen","title","leg","filename","yr","mo","dy","haveinfo"
"29",402,1,5,2,91,"DECRETO QUE REFORMA LA LEY DEL IMPUESTO ESPECIAL SOBRE PRODUCCION Y SERVICIOS (EN LO GENERAL Y EN LO PARTICULAR, CON LA FE DE ERRATAS ADMITIDA)",60,"60yr1or1-sil-29",2006,12,18,1
"30",414,0,3,1,83,"DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES DE LA LEY DE COORDINACION FISCAL Y A LA LEY FEDERAL DE PRESUPUESTO Y RESPONSABILIDAD HACENDARIA (EN LO GENERAL Y EN LO PARTICULAR, CON LA FE DE ERRATAS ADMITIDA)",60,"60yr1or1-sil-30",2006,12,18,1
"31",423,0,1,0,77,"LEY DE INGRESOS DE LA FEDERACION PARA EL EJERCICIO FISCAL DE 2007 (EN LO GENERAL Y EN LO PARTICULAR LOS ARTICULOS NO RESERVADOS, CON LA FE DE ERRATAS ADMITIDA)",60,"60yr1or1-sil-31",2006,12,18,1
"32",418,0,0,0,83,"LEY DE INGRESOS DE LA FEDERACION PARA EL EJERCICIO FISCAL DE 2007 (EN LO PARTICULAR LOS ARTICULOS 4o. RESERVADO EN SUS TERMINOS Y 31 CON LA MODIFICACION ACEPTADA)",60,"60yr1or1-sil-32",2006,12,18,1
"33",425,0,2,0,74,"DECRETO POR EL QUE SE EXPIDE LA LEY PARA EL USO Y PROTECCIÓN DE LA DENOMINACIÓN Y DEL EMBLEMA DE LA CRUZ ROJA. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-33",2006,12,19,1
"34",438,0,3,0,60,"DECRETO QUE ADICIONA UNA FRACCIÓN VI AL ARTÍCULO 19; UN PÁRRAFO TERCERO AL ARTÍCULO 20 BIS 2, Y REFORMA EL ARTÍCULO 51 DE LA LEY GENERAL DEL EQUILIBRIO ECOLÓGICO Y LA PROTECCIÓN AL MEDIO AMBIENTE. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-34",2006,12,21,1
"35",382,0,3,2,114,"DECRETO QUE ADICIONA UN ARTÍCULO 60 TER Y UN SEGUNDO PÁRRAFO AL ARTÍCULO 99 DE LA LEY GENERAL DE VIDA SILVESTRE. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-35",2006,12,21,1
"36",374,6,34,2,85,"DECRETO QUE REFORMA EL ARTÍCULO 28 DE LA LEY DE ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-36",2006,12,21,1
"37",432,0,4,1,64,"DOS DECRETOS QUE CONCEDEN PERMISO A 4 CC. PARA PRESTAR SERVICIOS EN REPRESENTACIONES EXTRANJERAS.  (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-37",2006,12,21,1
"38",296,6,114,1,84,"DECRETO POR EL QUE SE CONCEDE AUTORIZACION AL C. FELIPE DE JESUS CALDERON HINOJOSA, PRESIDENTE DE LOS ESTADOS UNIDOS MEXICANOS, PARA AUSENTARSE DE TERRITORIO NACIONAL LOS DIAS 9 Y 10 DE ENERO DE 2007, A FIN DE PARTICIPAR EN LA CEREMONIA DE TRANSMISION DE MANDO PRESIDENCIAL EN LA REPUBLICA DE NICARAGUA.  (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-38",2006,12,21,1
